Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/100 [00:00<?, ?it/s]Loading weights: 100%|██████████| 100/100 [00:00<00:00, 15451.48it/s]
[1mDistilBertForSequenceClassification LOAD REPORT[0m from: distilbert-base-uncased
Key                     | Status     | 
------------------------+------------+-
vocab_layer_norm.weight | UNEXPECTED | 
vocab_layer_norm.bias   | UNEXPECTED | 
vocab_transform.weight  | UNEXPECTED | 
vocab_transform.bias    | UNEXPECTED | 
vocab_projector.bias    | UNEXPECTED | 
classifier.bias         | MISSING    | 
pre_classifier.weight   | MISSING    | 
pre_classifier.bias     | MISSING    | 
classifier.weight       | MISSING    | 

[3mNotes:
- UNEXPECTED[3m	:can be ignored when loading from different task/architecture; not ok if you expect identical arch.
- MISSING[3m	:those params were newly initialized because missing from the checkpoint. Consider training on your downstream task.[0m
Epoch 1/3 | Batch 280/826 | Loss: 0.5691
Epoch 1/3 | Batch 281/826 | Loss: 0.4966
Epoch 1/3 | Batch 282/826 | Loss: 0.3947
Epoch 1/3 | Batch 283/826 | Loss: 0.5169
Epoch 1/3 | Batch 284/826 | Loss: 0.4321
Epoch 1/3 | Batch 285/826 | Loss: 0.5060
Epoch 1/3 | Batch 286/826 | Loss: 0.4077
Epoch 1/3 | Batch 287/826 | Loss: 0.4861
Epoch 1/3 | Batch 288/826 | Loss: 0.5434
Epoch 1/3 | Batch 289/826 | Loss: 0.3922
Epoch 1/3 | Batch 290/826 | Loss: 0.4919
Epoch 1/3 | Batch 291/826 | Loss: 0.3886
Epoch 1/3 | Batch 292/826 | Loss: 0.4580
Epoch 1/3 | Batch 293/826 | Loss: 0.4468
Epoch 1/3 | Batch 294/826 | Loss: 0.4883
Epoch 1/3 | Batch 295/826 | Loss: 0.4258
Epoch 1/3 | Batch 296/826 | Loss: 0.4353
Epoch 1/3 | Batch 297/826 | Loss: 0.4323
Epoch 1/3 | Batch 298/826 | Loss: 0.4391
Epoch 1/3 | Batch 299/826 | Loss: 0.4006
Epoch 1/3 | Batch 300/826 | Loss: 0.4994
Epoch 1/3 | Batch 301/826 | Loss: 0.4723
Epoch 1/3 | Batch 302/826 | Loss: 0.4023
Epoch 1/3 | Batch 303/826 | Loss: 0.4444
Epoch 1/3 | Batch 304/826 | Loss: 0.4637
Epoch 1/3 | Batch 305/826 | Loss: 0.5497
Epoch 1/3 | Batch 306/826 | Loss: 0.4941
Epoch 1/3 | Batch 307/826 | Loss: 0.5703
Epoch 1/3 | Batch 308/826 | Loss: 0.3766
Epoch 1/3 | Batch 309/826 | Loss: 0.5133
Epoch 1/3 | Batch 310/826 | Loss: 0.5080
Epoch 1/3 | Batch 311/826 | Loss: 0.4315
Epoch 1/3 | Batch 312/826 | Loss: 0.4973
Epoch 1/3 | Batch 313/826 | Loss: 0.5168
Epoch 1/3 | Batch 314/826 | Loss: 0.3899
Epoch 1/3 | Batch 315/826 | Loss: 0.3290
Epoch 1/3 | Batch 316/826 | Loss: 0.4745
Epoch 1/3 | Batch 317/826 | Loss: 0.4290
Epoch 1/3 | Batch 318/826 | Loss: 0.3973
Epoch 1/3 | Batch 319/826 | Loss: 0.3861
Epoch 1/3 | Batch 320/826 | Loss: 0.4977
Epoch 1/3 | Batch 321/826 | Loss: 0.3583
Epoch 1/3 | Batch 322/826 | Loss: 0.3485
Epoch 1/3 | Batch 323/826 | Loss: 0.3908
Epoch 1/3 | Batch 324/826 | Loss: 0.4154
Epoch 1/3 | Batch 325/826 | Loss: 0.4514
Epoch 1/3 | Batch 326/826 | Loss: 0.3549
Epoch 1/3 | Batch 327/826 | Loss: 0.3536
Epoch 1/3 | Batch 328/826 | Loss: 0.4079
Epoch 1/3 | Batch 329/826 | Loss: 0.4332
Epoch 1/3 | Batch 330/826 | Loss: 0.3128
Epoch 1/3 | Batch 331/826 | Loss: 0.5734
Epoch 1/3 | Batch 332/826 | Loss: 0.4658
Epoch 1/3 | Batch 333/826 | Loss: 0.5123
Epoch 1/3 | Batch 334/826 | Loss: 0.4512
Epoch 1/3 | Batch 335/826 | Loss: 0.4315
Epoch 1/3 | Batch 336/826 | Loss: 0.3090
Epoch 1/3 | Batch 337/826 | Loss: 0.4115
Epoch 1/3 | Batch 338/826 | Loss: 0.6021
Epoch 1/3 | Batch 339/826 | Loss: 0.3221
Epoch 1/3 | Batch 340/826 | Loss: 0.4203
Epoch 1/3 | Batch 341/826 | Loss: 0.5328
Epoch 1/3 | Batch 342/826 | Loss: 0.5186
Epoch 1/3 | Batch 343/826 | Loss: 0.4714
Epoch 1/3 | Batch 344/826 | Loss: 0.3271
Epoch 1/3 | Batch 345/826 | Loss: 0.4308
Epoch 1/3 | Batch 346/826 | Loss: 0.3629
Epoch 1/3 | Batch 347/826 | Loss: 0.4276
Epoch 1/3 | Batch 348/826 | Loss: 0.4239
Epoch 1/3 | Batch 349/826 | Loss: 0.3522
